asusrog,price
"Govee RGBIC Gaming Light Bars H6047 with Smart Controller, Wi-Fi Smart LED Gaming Lights with Music Modes and 60+ Scene Modes Built, Works with Alexa & Google Assistant, Game Room Lights Decor",
GIGABYTE - AORUS MASTER 16 Gaming Laptop - 240Hz 2560x1600 OLED - NVIDIA GeForce RTX 5070 Ti - Intel Core Ultra 9 275HX - 1TB SSD with 32GB DDR5 RAM - Windows 11 Home AD (AORUS MASTER 16 BXHC4USE64SH),
Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor - 11 Programmable Buttons - HyperScroll Tilt Wheel - Classic Black,"INR3,545
.
35"
"Skytech Gaming Archangel Gaming PC, AMD Ryzen 7 7700X 4.5GHz, NVIDIA RTX 5060, 1TB Gen4 NVMe SSD, 32GB DDR5 RAM 5600, 650W Gold PSU, Wi-Fi, Win 11, Desktop","INR88,677
.
11"
Razer Tartarus V2 Gaming Keypad: Mecha Membrane Key Switches - One Handed Keyboard - 32 Programmable Keys - Customizable Chroma RGB Lighting - Programmable Macros - Snap Tap - Black,"INR7,093
.
35"
"Gaming Microphone, USB PC Mic for Podcasts Videos, Streaming, Condenser Mic with Quick Mute, Tripod Stand, Pop Filter, RGB Indicator, Shock Mount, Rotate gain button, Compatible with PS4/5/PC",
"Lamicall Headphone Stand, Sticky Headset Hanger - Adhesive Headphone Holder Hook Mount, Headset Stand Holder Clip Under Desk, Earphone Clamp for Airpods Max, HyperX, Sennheiser, Black",
"Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,Black",
"GIGABYTE Radeon RX 9060 XT Gaming OC 16G Graphics Card, PCIe 5.0, 16GB GDDR6, GV-R9060XTGAMING OC-16GD Video Card","INR34,583
.
53"
"ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDM) - UHD (3840 x 2160), QD-OLED, 240Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, Graphene Film, 99% DCI-P3, True 10-bit, 90W USB-C","INR88,677
.
11"
"65% Gaming Keyboard, Wired Backlit Mini Keyboard, Ultra-Compact Anti-Ghosting No-Conflict 68 Keys Membrane Gaming Wired Keyboard for PC Laptop Windows Gamer",
"16.0-inch Gaming Laptop, 16GB DDR4 512GB SSD Laptop Computer, Windows 11 Laptop with 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, WiFi 6, USB3.2, Type_C",
"2025 Gaming Laptop,AMD Ryzen 7 5700U(8C/16T), Radeon RX Vega 8 Graphics,15.6“FHD Display,16GB RAM 512GB NVMe SSD Laptop Computer with Numeric KB,Type_C (Full Function),WiFi 6, 54Wh Battery",
Razer Blade 14 (2025) Gaming Laptop: NVIDIA GeForce RTX 5070 - AMD Ryzen AI 9 365 CPU - 3K 120Hz OLED Display - 64GB LPDDR5X RAM - 2TB SSD - Thin & Lightweight - Chroma RGB - Windows - Black,
"MSI Thin 15 15.6” 144Hz FHD Gaming Laptop: Intel Core i7-13620H, NVIDIA Geforce RTX 4050, 16GB DDR4, 512GB NVMe SSD, WiFi 6E, Win 11: Black B13VE-2678US","INR78,840
.
95"
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Buttons, On-Board Memory, PC/Mac",
"MSI Gaming RTX 5070 Ti 16G Gaming Trio OC Graphics Card (16GB GDDR7, 256-bit, Extreme Performance: 2580, DisplayPort x 3 2.1a, HDMI 2.1b, NVIDIA Blackwell Architecture)","INR74,488
.
63"
Large RGB Gaming Mouse Pad -15 Light Modes Touch Control Extended Soft Computer Keyboard Mat Non-Slip Rubber Base for Gamer Esports Pros 31.5X11.8,
"ASUS TUF Gaming 27” 1440P Gaming Monitor (VG27AQM1A) - QHD (2560 x 1440), 260Hz, 1ms, Fast IPS, Extreme Low Motion Blur Sync, Freesync Premium, G-SYNC Compatible, DisplayHDR400, 3 Year Warranty","INR20,307
.
26"
"KontrolFreek Precision Rings | Aim Assist Motion Control for Playstation 4 (PS4), PS5, Xbox One, XBX, Switch Pro & Scuf Controller (Black/Purple/Green)",
"Smart RGBICW LED Corner Floor Lamp - 16 Million DIY Colors, 68+ Scenes, Music Sync, App & Remote Control, Color-Changing Ambient Lighting for Living Rooms, Bedrooms, and Gaming Rooms",
KDD Headphone & Controller Stand with Wireless Charging - Rotatable Headset Stand with 9 Light Modes - Controller Holder with 2 USB and Type C Ports - for Gamers Desktop Accessories,
"Womier S-K80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard, Wired Hot Swappable Gasket Mount RGB Custom Key Board, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa",
